StaffID,FirstName,LastName,Email,Gender,Role,Phone
100.00,Lion,Elnaugh,lelnaugh0@apple.com,Male,CEO,543-601-2439
101.00,Gordy,Forte,gforte1@nbcnews.com,Male,Chief Operating Officer,512-505-9120
102.00,Taffy,Woolhouse,twoolhouse2@sourceforge.net,Female,Financial Manager,693-800-0094
103.00,Jobye,Soame,jsoame3@github.com,Female,Marketing Manager,495-738-0774
104.00,Paige,Jeune,pjeune4@sourceforge.net,Male,Operations Manager,798-484-9017
105.00,Katya,Scorton,kscorton5@timesonline.co.uk,Female,Office Manager,553-928-4008
106.00,Wini,Crawforth,wcrawforth6@harvard.edu,Female,Accounting Manager ,755-494-4093
107.00,Dasi,Ciobotaru,dciobotaru7@marketwatch.com,Female,Executive assistant ,310-996-4397
108.00,Parker,Kirtley,pkirtley8@globo.com,Male,Executive assistant ,416-462-0539
109.00,Pia,Loveless,ploveless9@skyrock.com,Female,Executive assistant ,331-329-6027
110.00,Chaunce,De Bischop,cdebischopa@surveymonkey.com,Male,Executive assistant ,708-141-4993
111.00,Tremayne,Stowgill,tstowgillb@theatlantic.com,Male,Human Resource Manger,184-939-5173
112.00,Philip,Matelyunas,pmatelyunasc@wisc.edu,Male,Residential Service Specialist,515-495-2466
113.00,Percy,Le Pruvost,plepruvostd@cyberchimps.com,Male,Data Chief Officer ,246-207-1745
114.00,Brannon,Berrane,bberranee@sphinn.com,Male,Data Analyst,445-634-2924
115.00,Gray,Feldmann,gfeldmannf@businessinsider.com,Male,Data Analyst,769-278-7491
116.00,Magdalene,Ashdown,mashdowng@mlb.com,Female,Data Analyst,238-944-7007
117.00,Haydon,Sydenham,hsydenhamh@mail.ru,Male,Data Analyst,654-110-0329
118.00,Cole,Graalmans,cgraalmansi@bloglovin.com,Male,Data Analyst,853-942-4342
119.00,Jordanna,Szymanek,jszymanekj@sfgate.com,Female,Data Analyst,840-619-2088
120.00,Prue,Roobottom,proobottomk@meetup.com,Female,Data Analyst,595-307-1393
121.00,Marne,Gealle,mgeallel@usnews.com,Female,Data Analyst,266-695-7768
122.00,Cecil,Pullen,cpullenm@reddit.com,Male,Accountant Staff,283-650-9599
123.00,Ellyn,Behling,ebehlingn@answers.com,Female,Accountant Staff,278-342-2754
